MaterialMatrix Serialize v1.0
;19;32;45;63;80;100;140;
Solo;6;3;1;2;1;2;2;
DS1;0;5;1;4;2;2;1;
HD Solo;1;1;0;2;1;0;0;
HD DS1;1;1;0;3;1;0;0;
Hubfix B1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
links Solo;2;4;1;1;1;1;0;
links DS1;1;1;1;1;1;0;0;
A1;8;11;NaN;7;NaN;NaN;0;
A1 DS1;4;4;NaN;6;NaN;NaN;0;
B1 DS1;3;2;NaN;5;NaN;NaN;0;
C3;1;1;NaN;3;NaN;NaN;0;
C3 DS1;1;3;NaN;0;NaN;NaN;1;
D3 DS1;1;1;NaN;1;NaN;NaN;1;
A7;0;1;NaN;4;NaN;NaN;2;
A7 DS1;4;2;NaN;2;NaN;NaN;2;
B7 DS1;0;0;NaN;3;NaN;NaN;0;
XX;3;1;NaN;7;NaN;NaN;0;
XX DS1;0;1;NaN;3;NaN;NaN;2;
A7 HFA;0;0;NaN;2;NaN;NaN;0;
B1 HFC DS1;0;0;NaN;2;NaN;NaN;0;
A1 Solo HFC;0;0;NaN;0;NaN;NaN;0;
F2;7;NaN;NaN;5;NaN;NaN;1;
F1;5;NaN;NaN;0;NaN;NaN;0;
H1;9;NaN;NaN;7;NaN;NaN;0;
H1 Flow;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
H2;3;NaN;NaN;1;NaN;NaN;0;
J1;8;NaN;NaN;6;NaN;NaN;0;
R1;1;NaN;NaN;1;NaN;NaN;1;
U1;1;NaN;NaN;1;NaN;NaN;0;
G2;2;NaN;NaN;0;NaN;NaN;0;
C1;4;5;NaN;3;NaN;NaN;0;
E1;0;2;0;1;1;NaN;1;
E2;0;1;1;0;0;NaN;0;
D1;1;0;0;1;1;NaN;0;
D2;0;0;1;0;0;NaN;1;
Dx;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
Y;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
B2;2;NaN;NaN;2;NaN;NaN;0;
S2;1;1;0;3;0;3;3;
S3;0;0;0;4;0;0;0;
S1;0;0;0;0;0;0;0;
